,precision,recall,f1-score,support
CG,1.0,0.7142857142857143,0.8333333333333334,7.0
OR,0.9622641509433962,1.0,0.9807692307692307,51.0
accuracy,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104
macro avg,0.9811320754716981,0.8571428571428572,0.907051282051282,58.0
weighted avg,0.9668184775536759,0.9655172413793104,0.9629752431476569,58.0
